Book Name,Author,Rating,Customers_Rated,Price
Zodiac Academy 7: Heartless Sky,Caroline Peckham,4.8 out of 5 stars,75,$7.99
The Perfect Couple: A gripping USA Today psychological crime thriller with a twist you won’t see coming!,Jackie Kabler,4.1 out of 5 stars,"11,771",$5.99
Sold on a Monday: A Novel,Kristina McMorris,4.2 out of 5 stars,"15,765",$11.10
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health…",Robert F. Kennedy Jr.,4.8 out of 5 stars,"1,416",$2.99
The Huntress: A Novel,Kate Quinn,4.5 out of 5 stars,"5,731",$11.99
Under the Knife,Tess Gerritsen,4.3 out of 5 stars,581,$1.99
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.8 out of 5 stars,"34,711",$10.99
Darling Venom: An Enemies-to-Lovers Romance,Parker S. Huntington,5.0 out of 5 stars,90,$5.99
Ignite: A Grumpy Single Dad Romance,Melanie Harlow,4.6 out of 5 stars,406,$6.41
Everything I Never Told You: A Novel,Celeste Ng,4.3 out of 5 stars,"18,322",$13.99
No Way Out: A Gripping Novel of Suspense,Fern Michaels,4.2 out of 5 stars,"2,129",$12.99
"The Healing Power of Sound: Recovery from Life-Threatening Illness Using Sound, Voice, and Music",Mitchell L. Gaynor,4.6 out of 5 stars,126,$1.99
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain…",Amy Morin,4.5 out of 5 stars,"3,531",$11.99
Brutal Prince: An Enemies To Lovers Mafia Romance (Brutal Birthright Book 1),Sophie Lark,4.4 out of 5 stars,"1,434",$6.99
His Christmas List: A Christmas short story.,T L Swan,4.7 out of 5 stars,113,$1.27
The Sweetest Oblivion (Made Book 1),Danielle Lori,4.4 out of 5 stars,"2,062",$5.12
The Dictionary of Lost Words: A Novel,Pip Williams,4.5 out of 5 stars,"3,606",$16.99
Johnny Cash: The Life (ALA Notable Books for Adults),Robert Hilburn,4.6 out of 5 stars,564,$1.99
Snow Creek: An absolutely gripping mystery thriller (Detective Megan Carpenter Book 1),Gregg Olsen,4.2 out of 5 stars,"4,995",$0.99
The Flight Girls: A Novel,Noelle Salazar,4.5 out of 5 stars,"1,861",$12.99
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6 out of 5 stars,"9,271",$9.99
The One: A Novel,John Marrs,4.4 out of 5 stars,"7,693",$11.99
The One Night,Meghan Quinn,4.4 out of 5 stars,51,$2.55
The Bad Seed,Jory John,4.6 out of 5 stars,"4,775",$11.99
Recursion: A Novel,Blake Crouch,4.4 out of 5 stars,"6,288",$13.99
Go Tell the Bees That I Am Gone: A Novel (Outlander Book 9),Diana Gabaldon,4.7 out of 5 stars,"1,360",$15.99
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.5 out of 5 stars,"35,128",$0.99
Brogan: A Carolina Reapers Novel,Samantha Whiskey,4.5 out of 5 stars,62,$1.28
Flow: The Psychology of Optimal Experience (Harper Perennial Modern Classics),Mihaly Csikszentmihalyi,4.5 out of 5 stars,"2,824",$11.99
The Last Wish: Introducing the Witcher (The Witcher Saga Book 1),Andrzej Sapkowski,4.7 out of 5 stars,"19,011",$9.99
State of Terror: A Novel,Louise Penny,4.3 out of 5 stars,"2,071",$14.99
Unspoken: A Heartbreaking Novel of Suspense,Lisa Jackson,4.3 out of 5 stars,736,$6.89
The Billionaire's Fake Wife: Enemies to Lovers Standalone Romance (Big Bad Billionaires Book 1),L. Steele,4.4 out of 5 stars,505,$3.99
Mindset: The New Psychology of Success,Carol S. Dweck,4.5 out of 5 stars,"9,567",$14.99
The Judge's List: A Novel (The Whistler Book 2),John Grisham,4.3 out of 5 stars,"1,634",$16.99
When Breath Becomes Air,Paul Kalanithi,4.7 out of 5 stars,"18,875",$14.99
Oath of Silence: A Dark Mafia Romance (Deviant Doms),Jane Henry,4.4 out of 5 stars,76,$6.38
Dr. Todson's Home for Incorrigible Women,Riley LaShea,4.1 out of 5 stars,62,$0.99
1984 (AmazonClassics Edition),George Orwell,4.6 out of 5 stars,"53,939",$3.85
Range: Why Generalists Triumph in a Specialized World,David J. Epstein,4.6 out of 5 stars,"5,207",$13.99
Murder at Mallowan Hall (A Phyllida Bright Mystery Book 1),Colleen Cambridge,4.6 out of 5 stars,9,$1.99
"My Sister’s Lies: The best selling book about love, loss and dark family secrets",S.D. Robertson,3.9 out of 5 stars,"2,756",$1.99
"The 4-Hour Workweek, Expanded and Updated: Expanded and Updated, With Over 100 New Pages of Cutting-Edge Content.",Timothy Ferriss,4.4 out of 5 stars,"13,185",$7.99
Complexity: The Emerging Science at the Edge of Order and Chaos,M. Mitchell Waldrop,4.3 out of 5 stars,211,$1.99
A Beginner's Guide to the Stock Market,Matthew R. Kratter,4.3 out of 5 stars,"10,607",$4.01
There Are No Saints (Sinners Duet Book 1),Sophie Lark,4.4 out of 5 stars,394,$6.99
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.6 out of 5 stars,"20,427",$13.99
All Souls Trilogy (All Souls Series),Deborah Harkness,4.8 out of 5 stars,"5,500",$38.99
Promises and Pomegranates (Monsters & Muses Book 1),Sav R. Miller,4.1 out of 5 stars,258,$6.26
"Pandemia: How Coronavirus Hysteria Took Over Our Government, Rights, and Lives",Alex Berenson,4.9 out of 5 stars,309,$2.99
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",Vex King,4.7 out of 5 stars,"19,251",$12.99
The Good Egg (The Bad Seed Book 2),Jory John,4.8 out of 5 stars,"4,142",$11.99
Nanny for the Santas: A Holiday Reverse Harem Romance,Cassie Cole,4.4 out of 5 stars,55,$0.99
The Wolf and the Woodsman: A Novel,Ava Reid,4.1 out of 5 stars,88,$14.99
Outliers: The Story of Success,Malcolm Gladwell,4.6 out of 5 stars,"15,308",$15.99
The Cowboy's Christmas Bride: A Secret Child Amnesia Romance (Wild Texas Hearts Book 5),Deborah Garland,4.8 out of 5 stars,10,$0.99
Window Shopping,Tessa Bailey,4.2 out of 5 stars,295,$6.33
House of Earth and Blood (Crescent City Book 1),Sarah J. Maas,4.7 out of 5 stars,"14,532",$10.72
Leviathan Falls (The Expanse Book 9),James S. A. Corey,4.8 out of 5 stars,372,$18.99
"The First Wife's Secret: A gripping, emotional page turner with a stunning twist",Claire Amarti,4.1 out of 5 stars,"2,367",$4.99
The Glass Hotel: A Novel,Emily St. John Mandel,4.0 out of 5 stars,"6,910",$13.99
The Darkest Temptation (Made Book 3),Danielle Lori,4.5 out of 5 stars,"1,133",$5.11
A Ruin of Roses (Deliciously Dark Fairytales Book 1),K.F. Breene,4.4 out of 5 stars,764,$2.99
Zodiac Academy: The Awakening,Caroline Peckham,4.3 out of 5 stars,"1,543",$6.99
A Not So Meet Cute,Meghan Quinn,4.4 out of 5 stars,591,$6.34
The Ones We Leave Behind,Deanna Lynn Sletten,4.7 out of 5 stars,"1,145",$6.43
The Book of Lost Friends: A Novel,Lisa Wingate,4.5 out of 5 stars,"11,040",$13.99
The Maddest Obsession (Made Book 2),Danielle Lori,4.5 out of 5 stars,"1,526",$5.34
The Snow Killer: The start of the bestselling explosive crime series from Ross Greenwood (The DI Barton Series Book 1),Ross Greenwood,4.3 out of 5 stars,"1,137",$0.99
The Love Hypothesis,Ali Hazelwood,4.6 out of 5 stars,"1,151",$13.99
Code Name: Hacker (Jameson Force Security Book 4),Sawyer Bennett,4.6 out of 5 stars,224,$0.99
Accidental Romeo: A Marriage Mistake Romance (Marriage Mistake Series Book 3),Nicole Snow,4.6 out of 5 stars,565,$0.99
The Last Anniversary: A Novel,Liane Moriarty,4.2 out of 5 stars,"6,535",$11.99
Battle Royal: A Novel,Lucy Parker,4.3 out of 5 stars,35,$11.99
The Bear and the Nightingale: A Novel (Winternight Trilogy Book 1),Katherine Arden,4.5 out of 5 stars,"3,971",$13.99
The Last Mrs. Parrish: A Novel,Liv Constantine,4.3 out of 5 stars,"9,097",$11.99
Lives Other Than My Own: A Memoir,Emmanuel Carrere,4.2 out of 5 stars,146,$1.99
At Swim-Two-Birds: A Novel,Flann O'Brien,4.0 out of 5 stars,184,$1.99
Hooked (Never After Series),Emily McIntire,4.3 out of 5 stars,643,$6.18
"The Late Shift: Letterman, Leno, & the Network Battle for the Night",Bill Carter,4.5 out of 5 stars,149,$1.99
Wish You Were Here: A Novel,Jodi Picoult,4.3 out of 5 stars,183,$16.99
The Boy Who Talked to Dogs: A Memoir,Martin McKenna,4.3 out of 5 stars,413,$1.99
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6 out of 5 stars,"1,463",$16.99
"Love is All Around Holiday Collection: The Red Hot Earl, The Gift of the Marquess, Joy to the Duke",Darcy Burke,4.5 out of 5 stars,2,$0.99
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 20th Anniversary Edition",Mitch Albom,4.7 out of 5 stars,"12,133",$7.99
Birthday Girl,Penelope Douglas,4.4 out of 5 stars,"3,250",$5.05
Daughter of Havenglade Boxed Set Collection,H.C. Harrington,3.8 out of 5 stars,29,$0.99
Project Hail Mary: A Novel,Andy Weir,4.6 out of 5 stars,"20,273",$16.99
"Authentic French Noir Box Set: Bird in a Cage, Crush, The Executioner Weeps, The Gravedigger's Bread (Pushkin Vertigo)",Frédéric Dard,-1,0,$2.99
BULL (The Buck Boys Heroes Book 1),Deborah Bladon,4.4 out of 5 stars,60,$5.11
What Every BODY is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,Joe Navarro,4.6 out of 5 stars,"7,057",$11.99
Chasing Fireflies: A Novel of Discovery,Charles Martin,4.7 out of 5 stars,"1,664",$8.99
The Last Watch (The Divide Series Book 1),J. S. Dewes,4.3 out of 5 stars,509,$13.99
A Perfect Billionaire Box Set: Clean Contemporary Romance Box Set (A Perfect Billionaire Series),Shilpa Mudiganti,5.0 out of 5 stars,3,$0.99
On a Midnight Clear,Lily Morton,4.8 out of 5 stars,34,$6.35
Lulu's Provençal Table: The Food and Wine from Domaine Tempier Vineyard,Richard Olney,4.6 out of 5 stars,41,$1.99
Never: A Novel,Ken Follett,4.3 out of 5 stars,515,$18.99
In Our Hearts We Were Giants: The Remarkable Story of the Lilliput Troupe—a Dwarf Family's Survival of the Holocaust,Yehuda Koren,4.6 out of 5 stars,74,$1.99
Search for Her,Rick Mofina,4.2 out of 5 stars,395,$9.99
For the Wolf (The Wilderwood Book 1),Hannah Whitten,4.1 out of 5 stars,326,$5.99
